HHID,urban,year,month,index,inflation,ctotal,total_W,inctotal,wage_total,w_share,worker,ocupation,sex,age,father_educ,father_ocup,writeread,classeduc,region,familysize,wave,region2,region3,region4,female
H00110-04-01,0,2013,12,3,1.07531979700378,2471.551890535298,0.0,,,,,,1.0,41.0,,,0.0,17.0,1.0,2,2013-2014,0,0,0,0
H00208-04-01,1,2014,3,4,1.07531979700378,4304.077914097192,0.0,1289059.091110864,,,0.0,businessman,1.0,75.0,,,0.0,22.0,1.0,5,2013-2014,0,0,0,0
H00209-04-01,1,2014,3,5,1.07531979700378,2446.100140208049,0.0,,,,0.0,nothing,2.0,43.0,,,0.0,17.0,1.0,5,2013-2014,0,0,0,1
H00211-04-01,1,2014,3,6,1.09481231747301,2905.9102598191166,0.0,2146486.628342062,,,0.0,businessman,1.0,50.0,,,0.0,,1.0,7,2013-2014,0,0,0,0
H00213-04-01,1,2014,3,7,1.07592128257322,10372.54469737418,0.0,,,,0.0,nothing,1.0,51.0,,,0.0,51.0,1.0,7,2013-2014,0,0,0,0
H00301-04-01,1,2014,3,8,1.07592128257322,2184.1058550920907,0.0,,,,0.0,nothing,1.0,45.0,,,0.0,17.0,1.0,6,2013-2014,0,0,0,0
H00302-04-01,1,2014,4,9,1.07592128257322,1997.4921717338361,0.0,474012.37270840287,,,0.0,businessman,1.0,46.0,,,0.0,14.0,1.0,2,2013-2014,0,0,0,0
H00303-04-01,1,2013,10,10,1.07592128257322,1324.6194220354532,0.0,,,,,,2.0,62.0,,,0.0,16.0,1.0,5,2013-2014,0,0,0,1
H00304-04-01,1,2014,4,11,1.07592128257322,1003.4886746623143,3000.0,,,,,,1.0,40.0,,,0.0,16.0,1.0,1,2013-2014,0,0,0,0
H00307-04-01,1,2013,10,12,1.08552613447724,2068.489043224337,2050000.0,156606.08676350975,,,0.0,businessman,2.0,42.0,,,0.0,15.0,1.0,4,2013-2014,0,0,0,1
H00312-04-01,1,2014,4,13,1.08552613447724,3645.335354452061,152000.0,1100848.6687199657,,,0.0,businessman,2.0,52.0,3.0,19.0,0.0,32.0,1.0,7,2013-2014,0,0,0,1
H00313-04-01,1,2014,4,14,1.08552613447724,15639.979338769805,101520000.0,2303030.687698673,,,0.0,businessman,1.0,55.0,,,0.0,36.0,1.0,6,2013-2014,0,0,0,0
H00606-04-01,1,2014,7,15,1.08552613447724,4022.097639293736,0.0,,,,0.0,nothing,1.0,50.0,,,0.0,31.0,1.0,5,2013-2014,0,0,0,0
H00704-04-01,1,2014,2,16,1.08552613447724,1913.0122818236991,7690000.0,386909.155533377,,,0.0,businessman,1.0,46.0,,,0.0,23.0,1.0,8,2013-2014,0,0,0,0
H00707-04-01,1,2014,8,17,1.08552613447724,6139.5871460286735,0.0,644848.5925556284,,,0.0,businessman,2.0,51.0,,,0.0,32.0,1.0,7,2013-2014,0,0,0,1
H00710-04-01,1,2014,2,18,1.08552613447724,1904.6081325587995,27905000.0,,,,,,1.0,52.0,73.0,14.0,0.0,12.0,1.0,7,2013-2014,0,0,0,0
H00712-04-01,1,2014,2,19,1.08552613447724,7571.013186332062,41930000.0,1404848.7194961905,,,0.0,businessman,1.0,61.0,,,0.0,51.0,1.0,4,2013-2014,0,0,0,0
H00802-04-01,1,2013,10,21,1.07592128257322,2355.629483192265,0.0,65060.521744290585,,,0.0,businessman,1.0,56.0,,,0.0,17.0,1.0,4,2013-2014,0,0,0,0
H00803-04-01,1,2014,3,22,1.0693649877067402,5184.959896334216,0.0,1458809.6841897075,,,0.0,businessman,2.0,51.0,,,0.0,34.0,1.0,6,2013-2014,0,0,0,1
H00805-04-01,1,2013,10,23,1.0693649877067402,1292.2176768027236,0.0,,,,0.0,nothing,1.0,29.0,3.0,22.0,0.0,34.0,1.0,4,2013-2014,0,0,0,0
H00809-04-01,1,2013,10,24,1.0747256362995699,6652.550157934205,0.0,139570.50519095355,,,0.0,businessman,1.0,45.0,,,0.0,15.0,1.0,12,2013-2014,0,0,0,0
H00810-04-02,1,2014,3,25,1.0747256362995699,12393.913087471536,0.0,18609.40069212714,,,0.0,businessman,2.0,57.0,,,0.0,51.0,1.0,17,2013-2014,0,0,0,1
H00810-04-03,1,2014,3,26,1.0747256362995699,4359.4752438008445,0.0,186094.00692127142,,,0.0,businessman,1.0,27.0,,,0.0,51.0,1.0,2,2013-2014,0,0,0,0
H00811-04-01,1,2013,10,27,1.0693649877067402,3352.7458272889758,0.0,74810.75303536963,,,0.0,businessman,1.0,40.0,,,0.0,17.0,1.0,6,2013-2014,0,0,0,0
H01209-04-01,1,2014,1,28,1.0747256362995699,4217.974479711866,12555001.0,,,,0.0,nothing,1.0,24.0,32.0,4.0,0.0,,1.0,8,2013-2014,0,0,0,0
H01209-04-02,1,2014,7,29,1.0747256362995699,1711.605327894812,0.0,,,,0.0,nothing,1.0,25.0,13.0,5.0,0.0,35.0,1.0,4,2013-2014,0,0,0,0
H01209-04-03,1,2014,7,30,1.06875102353536,5543.296150156679,0.0,233917.9046332195,,,0.0,businessman,1.0,70.0,,,0.0,14.0,1.0,7,2013-2014,0,0,0,0
H01210-04-01,1,2014,1,31,1.06875102353536,3788.274825704205,0.0,,,,0.0,nothing,1.0,40.0,73.0,10.0,0.0,16.0,1.0,7,2013-2014,0,0,0,0
H01401-04-01,1,2014,3,32,1.07531979700378,6657.789638569325,0.0,1580925.0464250722,,,0.0,businessman,1.0,33.0,6.0,1.0,0.0,61.0,1.0,3,2013-2014,0,0,0,0
H01402-04-01,1,2014,3,33,1.07531979700378,4165.890727292187,0.0,,,,,,2.0,49.0,,,0.0,34.0,1.0,4,2013-2014,0,0,0,1
H01406-04-01,1,2014,3,34,1.07531979700378,3097.7799847452834,0.0,,,,0.0,nothing,1.0,51.0,17.0,5.0,0.0,36.0,1.0,6,2013-2014,0,0,0,0
H01409-04-01,1,2014,3,35,1.07578104320216,1584.3748862592788,0.0,37182.287467100534,,,0.0,businessman,2.0,60.0,,,0.0,,1.0,1,2013-2014,0,0,0,1
H01601-04-01,1,2013,11,36,1.07578104320216,2568.7700135690106,90000.0,,,,0.0,nothing,1.0,32.0,,,0.0,34.0,1.0,3,2013-2014,0,0,0,0
H01604-04-01,1,2013,11,37,1.07578104320216,10939.380573822958,37800000.0,9481483.304110637,,,0.0,businessman,1.0,73.0,,,0.0,61.0,1.0,2,2013-2014,0,0,0,0
H01605-04-01,1,2014,6,38,1.07578104320216,11162.419104943621,0.0,,,,0.0,nothing,2.0,54.0,,,0.0,51.0,1.0,7,2013-2014,0,0,0,1
H01612-04-01,1,2014,6,40,1.0965546293128199,2688.049791159008,760000.0,702199.3974732817,,,0.0,businessman,2.0,29.0,,,0.0,,1.0,5,2013-2014,0,0,0,1
H01801-04-01,1,2014,1,41,1.0965546293128199,2973.0674638652085,0.0,,,,,,1.0,48.0,,,0.0,33.0,1.0,6,2013-2014,0,0,0,0
H01806-04-01,1,2014,1,42,1.0965546293128199,1907.3798638765295,0.0,82075.25425012383,,,0.0,businessman,2.0,34.0,,17.0,0.0,41.0,1.0,5,2013-2014,0,0,0,1
H01806-04-02,0,2014,9,43,1.0965546293128199,2332.949850878294,20000.0,1413518.2676410216,,,0.0,businessman,1.0,36.0,,,0.0,17.0,1.0,5,2013-2014,0,0,0,0
H01809-04-01,1,2014,1,44,1.0965546293128199,2814.9240773766473,90230000.0,,,,0.0,nothing,2.0,38.0,23.0,10.0,0.0,32.0,1.0,7,2013-2014,0,0,0,1
